paper_id,decision,avg_rating,rating_variance,confidence_weighted_avg,num_reviews,num_rebuttals
odjMSBSWRt,1,7.0,1.0,7.0,4,7
QEHrmQPBdd,1,8.0,0.0,8.0,3,4
aWXnKanInf,1,8.0,0.0,8.0,3,7
XmProj9cPs,1,8.0,0.0,8.0,4,8
eHehzSDUFp,1,7.25,1.6875,7.2,4,11
wM2sfVgMDH,1,7.5,0.75,7.428571428571429,4,5
v593OaNePQ,1,8.0,2.0,8.133333333333333,4,8
Iyrtb9EJBp,1,8.0,0.0,8.0,4,9
NN6QHwgRrQ,1,8.0,0.0,8.0,3,9
is4nCVkSFA,1,7.5,0.75,7.428571428571429,4,0
r5IXBlTCGc,1,7.25,1.6875,7.076923076923077,4,4
BPgK5XW1Nb,1,8.666666666666666,0.8888888888888888,8.727272727272727,3,8
RWJX5F5I9g,1,8.0,0.0,8.0,3,5
or8mMhmyRV,1,7.75,3.1875,8.142857142857142,4,5
Mfnh1Sqdwf,1,7.5,0.75,7.571428571428571,4,8
tyEyYT267x,1,8.0,0.0,8.0,4,7
xoXn62FzD0,1,8.0,0.0,8.0,4,4
wg1PCg3CUP,1,8.0,0.0,8.0,4,5
SPS6HzVzyt,1,8.0,0.0,8.0,4,5
FSjIrOm1vz,1,8.0,0.0,8.0,4,4
4FWAwZtd2n,1,7.5,0.75,7.625,4,8
uHLgDEgiS5,1,8.0,0.0,8.0,4,9
WJaUkwci9o,1,8.0,0.0,8.0,4,6
HD6bWcj87Y,1,7.5,2.75,7.384615384615385,4,8
hyfe5q5TD0,1,8.0,0.0,8.0,4,4
rwqShzb9li,1,7.5,2.75,7.5,4,17
FBkpCyujtS,1,8.5,2.75,8.5,4,10
zBbZ2vdLzH,1,8.0,0.0,8.0,5,6
Pujt3ADZgI,1,6.0,0.0,6.0,4,0
CxXGvKRDnL,1,8.0,0.0,8.0,4,1
JDm7oIcx4Y,1,7.2,0.96,7.157894736842105,5,14
NGKQoaqLpo,1,7.5,0.75,7.5,4,9
rpwGUtTeA5,1,7.2,0.96,7.2631578947368425,5,11
1qP3lsatCR,1,7.2,0.96,7.0588235294117645,5,8
L14sqcrUC3,1,6.75,4.6875,6.571428571428571,4,10
gcouwCx7dG,1,5.75,3.1875,5.777777777777778,4,7
xsELpEPn4A,1,7.5,0.75,7.6,4,11
8UFG9D8xeU,1,7.333333333333333,0.8888888888888888,7.555555555555555,3,5
cfKZ5VrhXt,1,7.333333333333333,0.8888888888888888,7.4,3,6
o1Et3MogPw,1,7.2,0.96,7.111111111111111,5,6
A6Y7AqlzLW,1,7.142857142857143,0.9795918367346939,6.8,7,15
m9wG6ai2Xk,1,6.0,0.0,6.0,4,10
XgH1wfHSX8,1,7.5,2.75,7.571428571428571,4,24
10JOlFIPjt,1,7.5,0.75,7.466666666666667,4,4
FxNNiUgtfa,1,7.25,3.6875,7.5,4,4
pQsllTesiE,1,7.333333333333333,0.8888888888888888,7.333333333333333,3,15
hwnObmOTrV,1,7.333333333333333,0.8888888888888888,7.090909090909091,3,15
VCbqXtS5YY,1,7.25,3.6875,7.266666666666667,4,8
uuriavczkL,1,7.5,2.75,7.714285714285714,4,8
SuH5SdOXpe,1,7.5,0.75,7.454545454545454,4,11
kam84eEmub,1,7.2,0.96,7.2,5,5
PGhiPGBf47,1,7.25,1.6875,7.357142857142857,4,17
WcZLG8XxhD,1,7.5,0.75,7.571428571428571,4,15
pHOH8FVrTp,1,7.333333333333333,0.8888888888888888,7.4,3,6
DC8bsa9bzY,1,7.25,3.6875,7.384615384615385,4,5
8bjspmAMBk,1,7.5,0.75,7.333333333333333,4,6
msEr27EejF,1,7.2,0.96,7.176470588235294,5,9
04qx93Viwj,1,7.333333333333333,0.8888888888888888,7.166666666666667,3,4
h0ZfDIrj7T,1,7.5,0.75,7.466666666666667,4,0
6NNA0MxhCH,1,7.5,0.75,7.466666666666667,4,7
TId1SHe8JG,1,7.5,0.75,7.714285714285714,4,7
IqHeDe2lbl,1,7.25,1.6875,7.3076923076923075,4,5
LBl7Hez0fF,1,7.333333333333333,0.8888888888888888,7.2,3,1
MGKDBuyv4p,1,7.333333333333333,0.8888888888888888,7.2,3,10
szRmEM8Kx5,1,7.5,0.75,7.666666666666667,4,0
THqWPzL00e,1,7.5,0.75,7.384615384615385,4,10
k3gCieTXeY,1,7.25,1.6875,7.25,4,8
SyVPiehSbg,1,7.5,0.75,7.5,4,4
friHAl5ofG,1,7.5,0.75,7.538461538461538,4,5
Tv36j85SqR,1,7.2,0.96,7.2,5,6
cnKhHxN3xj,1,7.5,0.75,7.5,4,6
4ub9gpx9xw,1,7.5,0.75,7.466666666666667,4,5
IF0Q9KY3p2,1,7.333333333333333,0.8888888888888888,7.4,3,6
MKEHCx25xp,1,7.333333333333333,0.8888888888888888,7.384615384615385,3,5
ywFOSIT9ik,1,6.8,0.96,7.0,5,8
ikkvC1UnnE,1,7.5,0.75,7.571428571428571,4,5
yfW1x7uBS5,1,7.5,0.75,7.5,4,8
xGs7Ch3Vyo,1,7.5,0.75,7.538461538461538,4,5
wFD16gwpze,1,7.333333333333333,0.8888888888888888,7.4,3,7
INyi7qUdjZ,1,7.25,6.6875,6.9375,4,5
IuU0wcO0mo,1,7.5,0.75,7.428571428571429,4,8
vQhn4wrQ6j,1,7.333333333333333,0.8888888888888888,7.333333333333333,3,3
1jcnvghayD,1,7.25,1.6875,7.2,4,4
E48QvQppIN,1,7.25,1.6875,7.3076923076923075,4,5
SRpq5OBpED,1,7.5,0.75,7.375,4,7
bhK7U37VW8,1,7.166666666666667,3.4722222222222223,7.0476190476190474,6,31
PwxYoMvmvy,1,6.0,0.0,6.0,4,9
ONfWFluZBI,1,6.4,0.64,6.428571428571429,5,3
imT03YXlG2,1,6.5,0.75,6.571428571428571,4,6
w7P92BEsb2,1,7.0,1.0,6.8,4,13
FDimWzmcWn,1,5.75,0.1875,5.75,4,21
Sd4wYYOhmY,1,6.5,0.75,6.533333333333333,4,11
75PhjtbBdr,1,6.25,1.1875,6.2,4,19
XLMAMmowdY,1,5.75,1.6875,5.8,4,7
VNMJfBBUd5,1,6.0,0.0,6.0,4,15
yRKelogz5i,1,6.0,0.0,6.0,4,0
uClUUJk05H,1,6.166666666666667,0.8055555555555556,6.136363636363637,6,9
O6znYvxC1U,1,6.333333333333333,1.5555555555555556,6.111111111111111,3,5
wVTJRnZ11Z,1,6.0,1.5,5.846153846153846,4,12
xPTzjpIQNp,1,7.0,2.0,7.0,3,14
3bcN6xlO6f,1,6.5,0.75,6.588235294117647,4,10
WwmtcGr4lP,1,6.8,0.96,6.823529411764706,5,17
GdXI5zCoAt,1,7.0,1.0,7.142857142857143,4,4
3tukjsVyrE,1,7.0,1.6,7.0588235294117645,5,7
sb1HgVDLjN,1,6.666666666666667,0.8888888888888888,6.769230769230769,3,10
NtwFghsJne,1,6.0,0.0,6.0,4,10
kbeX97jExm,1,6.666666666666667,0.8888888888888888,6.8,3,3
